学易-云作业平台性能测试报告,,,,,,,,,,,,,
Label,并发数,平均值/ms,中位数/ms,90%/ms,95%/ms,99%/ms,最小值/ms,最大值/ms,异常,吞吐量,接收/kb,发送/kb,
getCourseById,1000,728,695,1192,1310,1783,113,3438,0.00%,250,255.13,37.84,
getPageCourses,1000,1450,1432,2608,2833,2974,137,10641,0,86.16975442,235.0313712,14.38967579,
getCoursesByTeacherPage,1000,1533,1482,2561,2744,6169,137,21004,0.001,45.96433168,136.5318852,8.206114477,
getCoursesByUserPage,1000,1751,1576,2749,2899,9403,132,11662,0,82.44702778,244.9256431,14.33161225,
getEndCoursesByUser,1000,1309,1224,1990,2170,3397,119,14191,0,68.7521485,152.8123926,10.94394551,
getEndCoursesByTeacher,1000,1220,1113,1897,2016,2148,258,9611,0.001,94.19743783,209.395017,15.43881288,
getNoteByUser,1000,403,393,594,652,760,123,2734,0,274.8007694,489.4888706,42.13253985,
getNoteById,1000,456,480,673,723,868,99,1367,0,592.7682276,241.3909677,92.62003557,
addNote,1000,1291,1187,2188,2355,2578,185,2722,0,300.2101471,61.56653407,97.04058466,
deleteNote,1000,1416,1321,1759,2671,2856,139,2985,0,249.8126405,51.23110792,53.67068449,
addCourse,1000,2937,2293,6476,7106,7635,173,9175,0.001,10.82954299,3.504583942,13.67441317,
deleteCourse,1000,2572,1930,6129,6330,7394,56,8148,0.001,10.93852549,4.569825394,2.30734522,
getCourseStudent,1000,468,439,644,687,807,118,9302,0,106.6325443,61.23040627,16.45306835,
updateCourseStudent,1000,832,895,1213,1293,1505,133,1698,0,457.6659039,93.85726545,119.3328089,
deleteCourseStudent,1000,662,650,1048,1134,1231,111,1638,0,456.412597,93.60023962,111.8745721,
addBulletin,1000,393,367,626,708,1413,99,1664,0,431.7789292,88.54841321,142.5207794,
deleteBulletin,1000,1410,1405,2188,2215,2338,115,2464,0,324.6753247,151.205801,71.02272727,
getRank,1000,360,345,488,532,615,147,1107,0,566.893424,158.8851687,89.68431122,
getPageHomeworkOfStudents,1000,1380,1242,2649,2999,3261,115,3326,0,262.8811777,67.51733373,67.00389393,
getPageStudentHomeworkAll,1000,2209,2281,3631,3735,4187,201,7495,0,129.8701299,33.35531656,33.48214286,
getPageHomeworkOfStudentsNoMongo,1000,2351,2488,3855,3963,4179,115,4356,0,214.6383344,55.12683784,56.17487658,
getAverage,1000,977,837,1735,1906,6582,224,78577,0.007,12.62530616,3.454747352,2.828154886,
getStudentStatistics,1000,937,720,1888,2063,6544,329,69446,0.006,14.29367791,6.517191274,3.649103384,
getStudentHomeworkOne,1000,56491,52226,95657,97430,155869,8514,219324,0.012,4.539573734,909.6846796,1.130034671,备注：要获取学生作业附件，故耗时较久
getMistakenHomework,1000,2243,2267,3432,3545,4023,127,5834,0,165.7328534,45.23267832,47.47239385,
addStudentHomework,1000,2930,2473,6539,7829,8943,173,9120,0.001,10.82954299,3.504583942,13.67441317,
editStudentHomework,1000,1467,1325,2498,2649,3219,149,3401,0.001,253.3627184,63.3746284,63.1636485,
correctStudentHomework,1000,1399,1318,2376,2536,3171,138,3286,0.001,257.6372895,66.49174654,66.74839275,
editStudentHomeworkByTeacher,1000,1375,1365,2298,2478,3064,136,3371,0.001,258.0246272,68.05772704,68.1636485,
deleteStudentHomeworkOne,1000,2826,2638,6279,7341,7394,165,8941,0.001,11.63819452,4.634274284,14.63819365,
getHomeworkAllPage,1000,2317,2369,3729,3749,4245,201,8253,0,116.7426484,29.64829632,30.72819487,
getTeacherHomeworkAllPage,1000,2353,2483,3684,3812,4381,203,8531,0,107.1268493,26.26483765,27.84938265,
getTeacherHomeworkOne,1000,54731,51847,93692,95378,136284,7429,19742,0.012,5.271637482,863.7352617,1.664372819,备注：要获取教师作业附件，故耗时较久
addTeacherHomework,1000,2873,2536,6329,7429,9205,185,9385,0.001,9.72813749,3.243819486,13.27183947,
editTeacherHomework,1000,1435,1284,2348,2583,3184,143,3375,0.001,256.7354658,65.99483622,65.74839139,
deleteTeacherHomeworkOne,1000,2853,2729,6437,7449,7682,175,9326,0.001,10.74829109,4.748391285,14.83948126,
UpdateHandinAlready,1000,1274,1192,2195,2383,2893,122,3248,0.001,259.7483849,64.84859317,64.88491285,
getUserMessage,1000,777,761,1051,1124,1299,202,9706,0,94.09993413,42.73092712,20.30867719,
addClass,1000,1203,1106,1401,1497,1577,403,14072,0,134.4132412,56.43143432,31.43142424,
getClass,1000,1356,1276,1478,1563,1701,552,15063,0,126.4322142,53.46323243,37.43268788,
updateClass,1000,807,780,1003,1201,1361,233,7808,0,100.5432252,37.68768726,24.36224782,
getAllClassByManager,1000,1579,1501,1832,2046,2392,691,14028,0,182.4782921,89.46362387,40.46781285,
getAllClass,1000,1967,2178,2598,2878,3279,987,24322,0,267.4681724,147.4631872,98.34768234,
getUserMessageAndIcon,1000,1778,1649,2078,2206,2508,506,20518,0,198.4687327,101.4687313,68.43268728,
getUserIcon,1000,1102,1078,1278,1413,1589,416,13429,0,131.4798321,78.46834272,41.47928763,
updateUser,1000,397,367,479,547,684,198,1789,0,78.43478238,32.46832344,17.46872322,
updateUserByTeacher,1000,684,652,846,973,1087,178,9574,0,67.4678232,38.47923875,17.46872312,
registerByManager,1000,599,578,625,781,834,165,8561,0,63.46238719,29.4273988,15.42769822,
delUser,1000,478,467,587,645,767,201,8462,0,89.46823678,63.46238788,43.42368987,
setUserIcon,1000,1067,1042,1187,1278,1412,409,10467,0,119.4236827,78.42388276,36.42198987,
setUserType,1000,675,612,768,887,1063,178,7476,0,176.4872135,56.43268723,26.45123411,
