Label,并发数,平均值/ms,中位数/ms,90%/ms,95%/ms,99%/ms,最小值/ms,最大值/ms,异常,吞吐量,接收/kb,发送/kb
getCourseById,1000,728,695,1192,1310,1783,113,3438,0.00%,250,255.13,37.84
getPageCourses,1000,1450,1432,2608,2833,2974,137,10641,0,86.16975442,235.0313712,14.38967579
getCoursesByTeacherPage,1000,1533,1482,2561,2744,6169,137,21004,0.001,45.96433168,136.5318852,8.206114477
getCoursesByUserPage,1000,1751,1576,2749,2899,9403,132,11662,0,82.44702778,244.9256431,14.33161225
getEndCoursesByUser,1000,1309,1224,1990,2170,3397,119,14191,0,68.7521485,152.8123926,10.94394551
getEndCoursesByTeacher,1000,1220,1113,1897,2016,2148,258,9611,0.001,94.19743783,209.395017,15.43881288
getNoteByUser,1000,403,393,594,652,760,123,2734,0,274.8007694,489.4888706,42.13253985
getNoteById,1000,456,480,673,723,868,99,1367,0,592.7682276,241.3909677,92.62003557
addNote,1000,1291,1187,2188,2355,2578,185,2722,0,300.2101471,61.56653407,97.04058466
deleteNote,1000,1416,1321,1759,2671,2856,139,2985,0,249.8126405,51.23110792,53.67068449
addCourse,1000,2937,2293,6476,7106,7635,173,9175,0.001,10.82954299,3.504583942,13.67441317
deleteCourse,1000,2572,1930,6129,6330,7394,56,8148,0.001,10.93852549,4.569825394,2.30734522
getCourseStudent,1000,468,439,644,687,807,118,9302,0,106.6325443,61.23040627,16.45306835
updateCourseStudent,1000,832,895,1213,1293,1505,133,1698,0,457.6659039,93.85726545,119.3328089
deleteCourseStudent,1000,662,650,1048,1134,1231,111,1638,0,456.412597,93.60023962,111.8745721
addBulletin,1000,393,367,626,708,1413,99,1664,0,431.7789292,88.54841321,142.5207794
deleteBulletin,1000,1410,1405,2188,2215,2338,115,2464,0,324.6753247,151.205801,71.02272727
getRank,1000,360,345,488,532,615,147,1107,0,566.893424,158.8851687,89.68431122
